instance,execution,config_id,top_k,population,elite,seed,time_limit_seconds,score,feasible,deterministic_seed_score,ga_score,switches,partials,bonus,program_score,revisits,normalized_length,local_search_used,local_search_initial_score,local_search_final_score,local_search_gain,local_search_iterations,local_search_improvements,local_search_runtime_seconds,runtime_seconds,output_file,status,error
australia_iptv,1,C09,12,40,3,9123,60,4883,True,4883,4883,45,3,945,4448,0,53,True,4883,4883,0,1,0,55.4484,118.1191,results_ga_localsearch\australia_iptv_ls_exec_01_C09.json,completed,
australia_iptv,2,C09,12,40,3,10132,60,4885,True,4883,4885,46,3,945,4460,0,53,True,4884,4885,1,1,1,12.9418,91.5732,results_ga_localsearch\australia_iptv_ls_exec_02_C09.json,completed,
australia_iptv,3,C09,12,40,3,11141,60,4886,True,4883,4886,45,3,945,4451,0,53,True,4886,4886,0,1,0,78.9476,141.4266,results_ga_localsearch\australia_iptv_ls_exec_03_C09.json,completed,
australia_iptv,4,C09,12,40,3,12150,60,4896,True,4883,4896,46,3,1002,4414,0,52,True,4894,4896,2,1,1,45.8456,108.9437,results_ga_localsearch\australia_iptv_ls_exec_04_C09.json,completed,
australia_iptv,5,C09,12,40,3,13159,60,4894,True,4883,4894,45,3,1002,4402,0,52,True,4894,4894,0,1,0,107.4587,185.9614,results_ga_localsearch\australia_iptv_ls_exec_05_C09.json,completed,
australia_iptv,6,C09,12,40,3,14168,60,4885,True,4883,4885,46,3,945,4460,0,53,True,4883,4885,2,1,1,169.0174,232.2026,results_ga_localsearch\australia_iptv_ls_exec_06_C09.json,completed,
australia_iptv,7,C09,12,40,3,15177,60,4884,True,4883,4884,46,3,945,4459,0,53,True,4884,4884,0,1,0,191.8293,254.2659,results_ga_localsearch\australia_iptv_ls_exec_07_C09.json,completed,
australia_iptv,8,C09,12,40,3,16186,60,4885,True,4883,4885,46,3,945,4460,0,53,True,4883,4885,2,1,1,170.5759,239.3733,results_ga_localsearch\australia_iptv_ls_exec_08_C09.json,completed,
australia_iptv,9,C09,12,40,3,17195,60,4885,True,4883,4885,46,3,945,4460,0,53,True,4883,4885,2,1,1,70.7917,134.8174,results_ga_localsearch\australia_iptv_ls_exec_09_C09.json,completed,
australia_iptv,10,C09,12,40,3,18204,60,4899,True,4883,4899,46,3,1002,4417,0,52,True,4897,4899,2,1,1,16.311,89.5352,results_ga_localsearch\australia_iptv_ls_exec_10_C09.json,completed,
